,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,participation_count_before_award
229530,Melvin Sheppard,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,443
229535,Ralph Spotts,M,United States,USA,1912,Stockholm,Shooting,"Shooting Men's Trap, Team",Gold,444
229539,Warren Sprout,M,United States,USA,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold,445
229541,Warren Sprout,M,United States,USA,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Bronze,446
229543,Warren Sprout,M,United States,USA,1912,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Bronze,447
229545,Jerome Steinert,M,United States,USA,1912,Stockholm,Cycling,"Cycling Men's Road Race, Team",Bronze,448
229546,Gaston Strobino,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's Marathon,Bronze,449
229547,Norman Taber,M,United States,USA,1912,Stockholm,Athletics,"Athletics Men's 1,500 metres",Bronze,450
229548,Norman Taber,M,United States,USA,1912,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Gold,451
229549,Lewis Tewanima,M,United States,USA,1912,Stockholm,Athletics,"Athletics Men's 10,000 metres",Silver,452
229554,James Thorpe,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's Pentathlon,Gold,453
229555,James Thorpe,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's Decathlon,Gold,454
229561,James Wendell,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's 110 metres Hurdles,Silver,455
229562,Lawrence Whitney,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's Shot Put,Bronze,456
229572,Walter Winans,M,United States,USA,1912,Stockholm,Art Competitions,Art Competitions Mixed Sculpturing,Gold,457
229574,Walter Winans,M,United States,USA,1912,Stockholm,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver,458
229577,Marc Wright,M,United States,USA,1912,Stockholm,Athletics,Athletics Men's Pole Vault,Silver,459
229580,Charles Ackerly,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,460
229585,Terence Allen,M,United States,USA,1920,Antwerpen,Polo,Polo Men's Polo,Bronze,461
229587,Marcus Arie,M,United States,USA,1920,Antwerpen,Shooting,Shooting Men's Trap,Gold,462
229588,Marcus Arie,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,463
229589,Louis Balbach,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Springboard,Bronze,464
229591,Harold Barron,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,Silver,465
229602,Basil Bennett,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Hammer Throw,Bronze,466
229604,Ethelda (-schlatke),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,Gold,467
229605,Ethelda (-schlatke),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,Gold,468
229606,Ethelda (-schlatke),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,469
229611,Raymond Bonney,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,470
229613,Horace Bonser,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,471
229618,Raymond Bracken,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,472
229619,Raymond Bracken,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, 30 metres",Silver,473
229620,Everett Bradley,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Pentathlon,Silver,474
229622,Henry Breckinridge,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Team",Bronze,475
229629,Horace Brown,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold,476
229630,Thomas Brown,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,477
229632,Thomas Brown,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,478
229640,Daniel Carroll,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,479
229647,Jay Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,480
229648,Sherman Clark,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,Silver,481
229649,Sherman Clark,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,482
229652,Anthony Conroy,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,483
229654,Paul Costello,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Double Sculls,Gold,484
229662,August Desch,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 400 metres Hurdles,Bronze,485
229664,Michael Devaney,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold,486
229671,Charles Jr.,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,487
229676,Ivan Dresser,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold,488
229677,Herbert Drury,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,489
229681,Edward Eagan,M,United States,USA,1920,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Gold,490
229682,Earl Eby,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 800 metres,Silver,491
229690,Erich Federschmidt,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,Silver,492
229691,Franz Federschmidt,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,Silver,493
229693,Dennis Fenton,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,494
229694,Dennis Fenton,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,495
229695,Dennis Fenton,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Bronze,496
229696,Dennis Fenton,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,497
229698,George Fish,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,498
229699,Morris Fisher,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold,499
229700,Morris Fisher,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,500
229701,Morris Fisher,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,501
229703,James Fitzgerald,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,502
229704,James Fitzpatrick,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,503
229705,Patrick Flynn,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,504
229708,Frank Foss,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Pole Vault,Gold,505
229711,Karl Frederick,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold,506
229712,Karl Frederick,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,507
229713,Karl Frederick,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,508
229720,Vincent Jr.,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,509
229723,Frank (digennara-),M,United States,USA,1920,Antwerpen,Boxing,Boxing Men's Flyweight,Gold,510
229724,George Geran,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,511
229725,Samuel Gerson,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,512
229727,Francis Goheen,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,513
229729,Edwin Jr.,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,514
229732,Irene (-loog),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,Silver,515
229733,Irene (-loog),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,516
229735,Brutus Hamilton,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Decathlon,Silver,517
229736,Louis Harant,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold,518
229738,Arthur Harris,M,United States,USA,1920,Antwerpen,Polo,Polo Men's Polo,Bronze,519
229739,William Jr.,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,Bronze,520
229745,Francis Honeycutt,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Team",Bronze,521
229750,Joseph Hunter,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,522
229752,Joseph Jackson,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,523
229754,Joseph Jackson,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,524
229755,Joseph Jackson,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,525
229758,Virgil Jacomini,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,526
229762,Carl Johnson,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Long Jump,Silver,527
229763,Charles Johnson,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,528
229765,Donald Johnston,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,529
229766,William Jordan,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,530
229769,Duke Kahanamoku,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,Gold,531
229770,Duke Kahanamoku,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,532
229773,Pua Kealoha,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,Silver,533
229774,Pua Kealoha,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,534
229775,Warren Kealoha,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 100 metres Backstroke,Gold,535
229776,Ray Kegeris,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 100 metres Backstroke,Silver,536
229777,Michael Kelly,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold,537
229778,Michael Kelly,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,538
229779,John Sr.,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Single Sculls,Gold,539
229780,John Sr.,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Double Sculls,Gold,540
229782,Clyde King,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,541
229783,Morris Kirksey,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,542
229784,Morris Kirksey,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 100 metres,Silver,543
229786,Morris Kirksey,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,544
229787,Carl Klose,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,Silver,545
229791,Frederick Kolberg,M,United States,USA,1920,Antwerpen,Boxing,Boxing Men's Welterweight,Bronze,546
229796,Louis Kuehn,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Springboard,Gold,547
229799,Richmond Landon,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's High Jump,Gold,548
229800,Alfred Lane,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold,549
229801,Alfred Lane,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,550
229802,Alfred Lane,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,551
229804,Ludwig Langer,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,Silver,552
229808,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,553
229810,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,554
229812,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,555
229814,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,556
229815,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,557
229817,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,558
229819,Willis Jr.,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,559
229826,Harry Liversedge,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Shot Put,Bronze,560
229827,Frank Jr.,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 400 metres Hurdles,Gold,561
229829,Arthur Lyon,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Team",Bronze,562
229836,Nelson Margetts,M,United States,USA,1920,Antwerpen,Polo,Polo Men's Polo,Bronze,563
229839,Walter Maurer,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,564
229840,Joseph Mccormick,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,565
229841,Lawrence Mccormick,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,566
229846,Patrick (mcdonnell-),M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 56-pound Weight Throw,Gold,567
229850,Perry Mcgillivray,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,568
229853,Forest Mcneir,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,569
229855,Charles Mehan,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,570
229862,Frederick Meyer,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,571
229863,John Montgomery,M,United States,USA,1920,Antwerpen,Polo,Polo Men's Polo,Bronze,572
229864,Edward Moore,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,573
229865,Samuel Mosberg,M,United States,USA,1920,Antwerpen,Boxing,Boxing Men's Lightweight,Gold,574
229866,John Jr.,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,575
229868,Harold Muller,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's High Jump,Silver,576
229871,Loren Murchison,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,577
229873,Frederic Murray,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,Bronze,578
229874,Edwin Myers,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Pole Vault,Bronze,579
229875,Kenneth Myers,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Fours,Silver,580
229880,John Norton,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 400 metres Hurdles,Silver,581
229881,Lawrence Nuesslein,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Bronze,582
229882,Lawrence Nuesslein,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,583
229883,Lawrence Nuesslein,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Gold,584
229884,Lawrence Nuesslein,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,585
229886,Lawrence Nuesslein,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,586
229889,John O'neil,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,587
229892,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,588
229893,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,589
229894,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold,590
229895,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,591
229896,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,592
229897,Carl Osburn,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,593
229901,Charles Paddock,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 100 metres,Gold,594
229902,Charles Paddock,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 200 metres,Silver,595
229903,Charles Paddock,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,596
229910,John Patrick,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,597
229911,Thelma (-sanborn),F,United States,USA,1920,Antwerpen,Diving,Diving Women's Springboard,Bronze,598
229913,Joseph Pearman,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,Silver,599
229915,Nathaniel Pendleton,M,United States,USA,1920,Antwerpen,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,600
229917,Clarence Pinkston,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Springboard,Silver,601
229918,Clarence Pinkston,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Platform,Gold,602
229921,Augustus Pope,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Discus Throw,Bronze,603
229922,Haig (keshishian-),M,United States,USA,1920,Antwerpen,Diving,Diving Men's Platform,Bronze,604
229927,Harold Rayner,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Team",Bronze,605
229930,Richard Remer,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Walk",Bronze,606
229931,Aileen (-soule),F,United States,USA,1920,Antwerpen,Diving,Diving Women's Springboard,Gold,607
229933,Cornelius Righter,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,608
229940,Norman Ross,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,Gold,609
229941,Norman Ross,M,United States,USA,1920,Antwerpen,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,610
229942,Norman Ross,M,United States,USA,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,611
229945,Arthur Rothrock,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Silver,612
229946,Arthur Rothrock,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,613
229951,Patrick Ryan,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 56-pound Weight Throw,Silver,614
229952,Patrick Ryan,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's Hammer Throw,Gold,615
229953,Alden Sanborn,M,United States,USA,1920,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold,616
229954,Arlie Schardt,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold,617
229959,Jackson Scholz,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,618
229960,Rudolph Scholz,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,619
229963,Ollie Schriver,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,620
229964,Ollie Schriver,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,621
229966,Ollie Schriver,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,622
229967,Frances Schroth,F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,Bronze,623
229968,Frances Schroth,F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,Bronze,624
229969,Frances Schroth,F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,625
229972,Robert Sears,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Team",Bronze,626
229976,Marion Shields,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 1,500 metres",Bronze,627
229977,Marion Shields,M,United States,USA,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold,628
229979,Colby Slater,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,629
229982,James Snook,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Gold,630
229983,James Snook,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,631
229986,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,632
229988,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,633
229989,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",Bronze,634
229990,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,635
229992,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,636
229993,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,637
229995,Lloyd Spooner,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,638
230004,Frank Synnott,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,639
230011,Robert Templeton,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,640
230013,Charles Jr.,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,641
230014,Frank Troeh,M,United States,USA,1920,Antwerpen,Shooting,Shooting Men's Trap,Silver,642
230015,Frank Troeh,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,643
230017,Leon Tuck,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,644
230023,Helen (-stelling),F,United States,USA,1920,Antwerpen,Diving,Diving Women's Springboard,Silver,645
230029,Cyril Weidenborner,M,United States,USA,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,646
230030,Theresa (-barnes),F,United States,USA,1920,Antwerpen,Figure Skating,Figure Skating Women's Singles,Bronze,647
230040,Margaret (-presley),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,Silver,648
230041,Margaret (-presley),F,United States,USA,1920,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,649
230042,Allen Woodring,M,United States,USA,1920,Antwerpen,Athletics,Athletics Men's 200 metres,Gold,650
230043,Heaton Wrenn,M,United States,USA,1920,Antwerpen,Rugby,Rugby Men's Rugby,Gold,651
230044,Frank Wright,M,United States,USA,1920,Antwerpen,Shooting,Shooting Men's Trap,Bronze,652
230045,Frank Wright,M,United States,USA,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold,653
230058,Arthur Austin,M,United States,USA,1924,Paris,Water Polo,Water Polo Men's Water Polo,Bronze,654
230059,Henry Bailey,M,United States,USA,1924,Paris,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,655
230061,Lee Jr.,M,United States,USA,1924,Paris,Athletics,Athletics Men's Pole Vault,Gold,656
230066,Sybil Bauer,F,United States,USA,1924,Paris,Swimming,Swimming Women's 100 metres Backstroke,Gold,657
230067,Elizabeth (-campbell),F,United States,USA,1924,Paris,Diving,Diving Women's Springboard,Gold,658
230068,Elizabeth (-campbell),F,United States,USA,1924,Paris,Diving,Diving Women's Plain High,Silver,659
230072,Elmer Jr.,M,United States,USA,1924,Paris,Polo,Polo Men's Polo,Silver,660
230074,John Boles,M,United States,USA,1924,Paris,Shooting,"Shooting Men's Running Target, Single Shot",Gold,661
230075,John Boles,M,United States,USA,1924,Paris,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,662
230082,Verne Booth,M,United States,USA,1924,Paris,Athletics,"Athletics Men's Cross-Country, Team",Silver,663
230088,Frederick Boylstein,M,United States,USA,1924,Paris,Boxing,Boxing Men's Lightweight,Bronze,664
230093,Ralph Breyer,M,United States,USA,1924,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,665
230095,James Brooker,M,United States,USA,1924,Paris,Athletics,Athletics Men's Pole Vault,Bronze,666
230097,Leroy Brown,M,United States,USA,1924,Paris,Athletics,Athletics Men's High Jump,Silver,667
230099,Leon Butler,M,United States,USA,1924,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze,668
230104,Leonard Carpenter,M,United States,USA,1924,Paris,Rowing,Rowing Men's Coxed Eights,Gold,669
230111,Philip Clark,M,United States,USA,1924,Paris,Rugby,Rugby Men's Rugby,Gold,670
230112,Louis Clarke,M,United States,USA,1924,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,671
230113,Norman Cleaveland,M,United States,USA,1924,Paris,Rugby,Rugby Men's Rugby,Gold,672
230114,Commodore Cochran,M,United States,USA,1924,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,673
230117,James Connolly,M,United States,USA,1924,Paris,Athletics,"Athletics Men's 3,000 metres, Team",Bronze,674
230118,Paul Costello,M,United States,USA,1924,Paris,Rowing,Rowing Men's Double Sculls,Gold,675
230120,Raymond Coulter,M,United States,USA,1924,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Gold,676
230122,Raymond Coulter,M,United States,USA,1924,Paris,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,677
